wavelength,xbar,ybar,zbar
393,0.000464624,-0.00015199,0.003115218
394,0.000719255,-0.000238585,0.004860392
395,0.000973885,-0.000325181,0.006605567
396,0.001228516,-0.000411777,0.008350742
397,0.001483146,-0.000498372,0.010095916
398,0.001737777,-0.000584968,0.011841091
399,0.001992407,-0.000671564,0.013586265
400,0.002247038,-0.000758159,0.01533144
401,0.003366405,-0.001176845,0.024061993
402,0.004485773,-0.00159553,0.032792546
403,0.00560514,-0.002014216,0.041523099
404,0.006724507,-0.002432901,0.050253652
405,0.007843874,-0.002851587,0.058984205
406,0.008963242,-0.003270272,0.067714758
407,0.010082609,-0.003688958,0.076445311
408,0.011201976,-0.004107643,0.085175864
409,0.013265883,-0.004937848,0.104896195
410,0.015514091,-0.00584835,0.126760874
411,0.017762298,-0.006758851,0.148625553
412,0.020010505,-0.007669353,0.170490232
413,0.022258713,-0.008579854,0.192354911
414,0.02450692,-0.009490356,0.21421959
415,0.026755128,-0.010400857,0.236084269
416,0.029003335,-0.011311359,0.257948947
417,0.030834447,-0.012277687,0.283451907
418,0.031831366,-0.013355667,0.316231429
419,0.032828286,-0.014433647,0.349010952
420,0.033825205,-0.015511627,0.381790474
421,0.034822125,-0.016589607,0.414569996
422,0.035819045,-0.017667586,0.447349518
423,0.036815964,-0.018745566,0.48012904
424,0.037812884,-0.019823546,0.512908562
425,0.038809804,-0.020901526,0.545688084
426,0.039361413,-0.021525977,0.577202448
427,0.039406988,-0.021635055,0.607279133
428,0.039452563,-0.021744132,0.637355817
429,0.039498138,-0.021853209,0.667432502
430,0.039543713,-0.021962286,0.697509187
431,0.039589288,-0.022071364,0.727585871
432,0.039634863,-0.022180441,0.757662556
433,0.039680438,-0.022289518,0.78773924
434,0.039726013,-0.022398595,0.817815925
435,0.038867042,-0.021978071,0.844923731
436,0.034751708,-0.019650981,0.861343571
437,0.030636374,-0.017323891,0.877763411
438,0.026521041,-0.014996801,0.894183251
439,0.022405707,-0.012669711,0.910603092
440,0.018290373,-0.010342622,0.927022932
441,0.014175039,-0.008015532,0.943442772
442,0.010059705,-0.005688442,0.959862613
443,0.005944371,-0.003361352,0.976282453
444,0.001829037,-0.001034262,0.992702293
445,-0.004483075,0.002795072,0.99633513
446,-0.012552609,0.007826201,0.989738364
447,-0.020622144,0.012857331,0.983141598
448,-0.028691678,0.01788846,0.976544832
449,-0.036761213,0.02291959,0.969948066
450,-0.044830747,0.02795072,0.9633513
451,-0.052900282,0.032981849,0.956754534
452,-0.060969817,0.038012979,0.950157768
453,-0.069039351,0.043044108,0.943561002
454,-0.077108886,0.048075238,0.936964236
455,-0.08602703,0.05481963,0.925925022
456,-0.095963507,0.063619938,0.90955487
457,-0.105899983,0.072420246,0.893184719
458,-0.11583646,0.081220553,0.876814567
459,-0.125772936,0.090020861,0.860444416
460,-0.135709413,0.098821169,0.844074264
461,-0.14564589,0.107621477,0.827704112
462,-0.155582366,0.116421785,0.811333961
463,-0.165518843,0.125222093,0.794963809
464,-0.175455319,0.134022401,0.778593658
465,-0.185391796,0.142822708,0.762223506
466,-0.198776658,0.154759039,0.737461355
467,-0.212615256,0.167108005,0.711594993
468,-0.226453853,0.179456971,0.685728631
469,-0.240292451,0.191805937,0.659862269
470,-0.254131049,0.204154902,0.633995907
471,-0.265174047,0.215892048,0.610469527
472,-0.272223334,0.226755166,0.590285979
473,-0.27927262,0.237618283,0.57010243
474,-0.286321906,0.2484814,0.549918882
475,-0.293371193,0.259344517,0.529735334
476,-0.300420479,0.270207635,0.509551785
477,-0.310882041,0.283122198,0.484594535
478,-0.322146493,0.296519453,0.458514061
479,-0.333410944,0.309916709,0.432433587
480,-0.344675395,0.323313965,0.406353113
481,-0.355939846,0.336711221,0.380272639
482,-0.366492973,0.350117135,0.354814139
483,-0.367917435,0.363634175,0.337337641
484,-0.369341897,0.377151214,0.319861143
485,-0.370766358,0.390668253,0.302384645
486,-0.37219082,0.404185293,0.284908147
487,-0.373615282,0.417702332,0.267431649
488,-0.375790873,0.431318747,0.250597657
489,-0.38106487,0.445345091,0.236413998
490,-0.386338867,0.459371434,0.222230339
491,-0.391612864,0.473397777,0.20804668
492,-0.396886861,0.48742412,0.193863021
493,-0.402160858,0.501450463,0.179679362
494,-0.405901778,0.515869868,0.16623213
495,-0.402305832,0.532170357,0.156309225
496,-0.398709886,0.548470846,0.14638632
497,-0.395113939,0.564771334,0.136463415
498,-0.391517993,0.581071823,0.12654051
499,-0.387922046,0.597372311,0.116617605
500,-0.3843261,0.6136728,0.1066947
501,-0.383378906,0.631981587,0.100125705
502,-0.382431712,0.650290374,0.093556709
503,-0.381484517,0.668599162,0.086987714
504,-0.380537323,0.686907949,0.080418719
505,-0.379590129,0.705216736,0.073849723
506,-0.378642935,0.723525523,0.067280728
507,-0.372676219,0.74098048,0.061459843
508,-0.364247096,0.758016577,0.056005955
509,-0.355817973,0.775052674,0.050552068
510,-0.34738885,0.792088771,0.04509818
511,-0.338959727,0.809124867,0.039644292
512,-0.330530604,0.826160964,0.034190405
513,-0.320541774,0.84329577,0.0291628
514,-0.303422857,0.860881819,0.026083917
515,-0.28630394,0.878467867,0.023005034
516,-0.269185023,0.896053916,0.019926152
517,-0.252066107,0.913639964,0.016847269
518,-0.23494719,0.931226013,0.013768386
